,item,prog_human,mant_human,prot_human,similarity
13,Ook in Europa pleiten we voor het vastleggen van de doelstelling voor een volledig circulaire economie in 2050 in Europese wetgeving.,5.2,4,2.4,0.810945274
14,"Schijnt de zon niet en is er geen wind, dan zullen we de nodige elektriciteit ergens anders vandaan moeten halen. Voor kortere periodes kan dit uit batterijen of door vraagsturing. Gaat het om langere periodes, dan vangen we de piekvraag op met gascentrales die draaien op groene waterstof.",5.4,2.6,3.6,0.866666667
15,We geven voorrang aan mensen met lage en middeninkomens bij het verstrekken van duurzame isolatiesubsidies en andere verduurzamingsmaatregelen. Daar gaan we fors in investeren,5.6,2,2.4,0.889688249
16,Wij investeren in openbaar vervoer zodat de OV-netwerken in de steden en het buitengebied worden uitgebreid. Daarmee wordt het gebruik van de auto minder noodzakelijk en verbeteren we het milieu.,5.8,2.6,5.6,0.73992674
17,We maken de verduurzaming van huizen zo makkelijk mogelijk. Daarom blijven we inzetten op de praktische weg die we zijn ingeslagen.,4.4,5.2,3.6,0.869047619
18,Daarnaast blijven we ons zoals afgesproken in ‘Nij begun‘ inzetten voor duurzame economische groei en perspectief in Groningen.,5.6,5,2.4,0.918635171
19,We zetten de bouw van de twee grote kerncentrales door. Maar om volledig schone en betrouwbare elektriciteit te produceren zorgen we ervoor dat we zo snel mogelijk op vier grote kerncentrales inzetten.,5.6,1.6,2,0.951550388
20,"We dwingen bedrijven om het gebruik van plastic af te bouwen, in plaats van mensen meer te laten betalen voor plastic.",5.2,1.8,5.2,0.930272109
21,"De wolf, inmiddels teruggekeerd in ons land, past slecht bij het hedendaagse cultuurlandschap van Nederland en richt flinke schade aan bij veehoudende boeren. Dat is onwenselijk. De bescherming van vee verdient de voorkeur boven het gedogen van de wolf.",3,5.4,5,0.692556634
22,We zetten in op natuurinclusieve oplossingen en gemeenschappelijke doelen.,6,3.8,3,0.724310777
23,"We zorgen dat bedrijven elkaar op regionaal niveau vinden, dat overheden samenwerken, dat we kennis delen en dat circulaire initiatiefnemers bij regionale investeringsfondsen terechtkunnen.",4.8,4.8,2,0.846774194
24,De overheid werkt actief aan een eerlijke prijs-scan voor haar eigen beleid.,5.4,2.6,3.6,0.900793651
25,De inkomsten uit deze heffingen laten wij transparant terugvloeien naar de maatschappij om de koopkrachteffecten van de heffingen te herstellen.,3.8,4.2,2.6,0.551912568
26,We schalen het Natuurnetwerk Nederland op naar de oorspronkelijke Ecologische Hoofdstructuur.,5.6,2.4,1.8,0.82208589
27,Het Rijk vormt samen met de provincies per regio een investeringsfonds van waaruit de verduurzaming van bedrijventerreinen in de regio’s kan worden ondersteund.,6.2,3.4,1.8,0.893455099
28,". Ook schalen we zeer zorgwekkende stoffen zo veel en zo snel mogelijk af en willen we in Europees verband het grote aantal soorten plastic drastisch verminderen, waardoor plastic beter herbruikbaar wordt.",5.8,1.6,4.8,0.94092827
29,De bouw is alleen al verantwoordelijk voor 40 procent van het afval in Nederland. Daarom willen we een materialenpaspoort voor elk gebouw en infrastructureel kunstwerk en steunen we het grondstoffenkadaster. Een materialenpaspoort geeft inzicht in elk onderdeel van een bouwwerk.,4.6,3.4,3.2,0.538461538
30,Duurzame energie moet voor iedereen toegankelijk en betaalbaar zijn. Daarom investeren we bijvoorbeeld in subsidies en ondersteuningsprogramma’s voor mensen met lage inkomens die de overstap willen maken naar duurzame energie of hun huis energiezuiniger willen maken.,6.4,1.8,4.2,0.902829028
31,"Er komt een wettelijk verbod op het aanboren van nieuwe gasvelden en de gaswinning in Groningen en de Waddenzee stopt per direct, evenals oliewinning in Schoonebeek.",3.6,4,5.8,0.828178694
32,In Europees verband zetten we in op de afbouw van fossiele winning in Europa en elders in de wereld.,5.4,2.4,4,0.523809524
33,Daarnaast start de overheid campagnes om mensen te motiveren om over te stappen naar een baan die bijdraagt aan de klimaattransitie.,6.2,2.6,3.4,0.858527132
34,Woningcorporaties doen dat voor hun woningen binnen afzienbare tijd en bij koopwoningen gaan de gemeenten mensen actief benaderen om dit te doen.,5.6,3.4,2.8,0.854636591
35,Er komt meer personeel op de stations en in de trein dat zichtbaar is en aanspreekbaar is voor vragen.,5.8,3,3.2,0.782258065
36,We voeren een kerosinebelasting in om de luchtvaartsector te prikkelen tot verduurzaming.,6.2,2.2,3.8,0.903061224
37,De overheid kan door publiekprivate partnerschappen bijdragen aan de realisatie van nieuwe kerncentrales in Nederland en faciliteert dit via een staatsdeelneming.,5.4,2.6,2,0.967948718
38,We helpen de glastuinbouw verduurzamen. De glastuinbouwsector heeft de ambitie om in 2040 klimaatneutraal te zijn. De overheid zorgt ervoor dat de randvoorwaarden hiervoor verwezenlijkt worden en in ruil daarvoor houden we de sector via een CO2-sectorsysteem aan hun zelfopgelegde doelen.,6.4,1.8,4.6,0.878415301
39,"Wij willen natuurbeleid op basis van de reële, empirisch waargenomen toestand van onze natuur; niet op basis van modelmatige kritische depositiewaarden voor stikstof.",3.4,5,2.8,0.50273224
40,Op dierenmishandeling moet strenger worden gehandhaafd. De maximale gevangenisstraf voor het (ernstig) mishandelen of verwaarlozen van een dier moet worden verhoogd van drie naar vijf jaar.,5,1.6,5.8,0.796875
41,Er is geen stikstofprobleem. Inkrimping van de veestapel is onnodig: boeren kunnen gewoon blijven boeren,1,6.8,1.6,0.978678038
42,"We stimuleren circulair en biobased bouwen. Hierbij streven we naar het verankeren van innovatieve en duurzame bouwtechnieken in de bouwsector, waarbij bijvoorbeeld zo weinig mogelijk materialen worden gebruikt, materialen optimaal hergebruikt worden en biobased alternatieven standaard worden.",6.6,1.8,3.6,0.958179582
43,"Iedere volwassen krijgt een basisbedrag ter compensatie voor onder andere de hogere kosten als gevolg van de transitie, zodat iedereen bewuste en duurzame keuzes ook kan maken",5.6,2,3.8,0.860465116
44,We zetten wereldwijd in op het tegengaan van ontbossing in de strijd tegen klimaatverandering en we zetten in op grootschalige duurzame herbebossing.,5.6,4.6,6,0.632911392
45,"We willen de inzet in de strijd tegen klimaatverandering intensiveren, in het bijzonder bij het proactief herstellen van biodiversiteit wereldwijd.",6.2,3.2,5.2,0.701754386
46,Samen met publieke spoorwegbedrijven van andere landen zetten we méér treinverbindingen op tussen ons land en grote Europese steden.,6.6,2.2,2.8,0.946236559
47,We verdubbelen het budget van het internationale klimaatfonds: het Dutch Fund for Climate and Development (DFCD).,5.6,2.6,5,0.837837838
48,"De belasting voor autorijden maken we eerlijker met ons voorstel voor rekeningrijden. Wat je betaalt hangt af van de hoeveelheid CO2-uitstoot, het moment op de dag waarop je rijdt en de regio waar je bent.",5.6,2.6,4,0.760752688
49,We stimuleren statiegeld- en retoursystemen en breiden deze uit.,6,3.2,4,0.73992674
50,We gebruiken de inkomsten om meer afval te hergebruiken en minder te verbranden.,6.2,2,5.2,0.920810313
51,"De milieuprestatie-eis voor nieuwbouw en grootschalige verbouwingen scherpen we aan. Daarnaast stellen we een maximum aan de hoeveelheid CO2-uitstoot van bouwmaterialen die worden gebruikt voor nieuwbouw, en we scherpen de eisen daarvoor periodiek aan",5.6,2.6,3.6,0.620253165
52,In aanvulling op de generieke energiebesparingsplicht komen er bindende besparingsdoelen per sector,5.4,3.2,4.2,0.882882883
53,"De energiebesparingsplicht, die bedrijven en instellingen wettelijk verplicht om alle energiebesparende maatregelen met een terugverdientijd van vijf jaar of minder uit te voeren, wordt aangescherpt tot een terugverdientijd van elf jaar.",5.2,2.2,3.4,0.649122807
54,Er komt een grootschalig isolatie-offensief om woningen te verduurzamen en de energierekening te verlagen,6.2,2.2,5,0.912380952
55,"Gebouwen worden zoveel mogelijk circulair gesloopt, materialen uit de gebouwen worden gebruikt voor andere doelen",6.2,3.4,3.6,0.909560724
56,We stoppen onmiddellijk met nachtvluchten zoals al toegezegd door Schiphol maar niet uitgevoerd.,6,1.4,4.4,0.971709717
57,We respecteren provincies die zich tegen gedwongen onteigening van boeren keren op voorwaarde dat ze op hun eigen manier de stikstofuitstoot beperken.,3,4.6,3.4,0.690690691
58,We erkennen blauwe waterstof als belangrijke transitieoplossing en zetten in op een langetermijncontract met Noorwegen dat in de jaren 2030 overgaat op groene waterstof.,5.8,2.4,4,0.75308642
59,In 2031 is er momenteel 21GW aan Wind op Zee gepland. Om die ontwikkeling door te trekken zullen we nu plannen moeten maken voor 2040.,5.2,1.8,3.4,0.52233677
60,"We investeren in binnenlandse treinverbindingen zoals de Lelylijn, Maaslijn en Nedersaksenlijn.",4.8,4.2,2.2,0.79197995
61,"Wij willen dat economische kracht hand in hand gaat met de zorg voor mensen en milieu en we stimuleren bedrijven om de overgang te maken naar een duurzame, toekomstbestendige bedrijfsvoering.",6.2,2.2,2.8,0.854805726
62,"Wij willen deze kennis ook als exportproduct gebruiken: Nederland wereldwijde koploper in adaptatie, watermanagement, etc.",6.4,3.6,2.2,0.8382643
63,Daarbij wordt wat ons betreft een aanzienlijk deel van de aardgasbaten gebruikt om direct in de regio te herinvesteren.,3.4,4,1.8,0.76975945
64,We introduceren een verenigd transportnetwerk onder de Noordzee dat berekend is op toekomstige aanbouw van windparken en waterstofgeneratoren.,6.4,2.2,3.2,0.859047619
65,We investeren in een waterstofnetwerk op land en op de Noordzee.,6.2,2.2,3,0.846153846
66,"Na de stop op subsidies voor biomassa voor de opwek van warmte, stoppen we ook zo snel mogelijk met het gebruik van biomassa voor de productie van elektriciteit.",4,2.2,3.8,0.707482993
67,We gebruiken de inkoopmacht van de overheid om maatschappelijke doelen te stimuleren en aan te jagen. De afgelopen jaren zijn hiermee al goede ervaringen opgedaan.,4.8,4.6,2.6,0.731182796
68,De gaswinning in Groningen stopt per 1 oktober 2024 definitief. Dit leggen we wettelijk vast. Ook overige gaswinning op land wordt afgebouwd.,3.4,3,4.4,0.501792115
69,"Wij maken het OV direct overal goedkoper door de BTW te schrappen, een goedkoop maandabonnement en/of dagkaart te introduceren en we werken toe naar gratis en toegankelijk OV.",6.2,2.8,2.2,0.854805726
70,"We voeren een kwaliteitsbudget in, om het effect van energieprojecten op de leefomgeving te minimaliseren.",3.8,3,6,0.677595628
71,"Door alle klimaatdoeners te ondersteunen en de vervuiler te laten betalen, bouwen we samen aan de klimaatneutrale toekomst van Nederland.",5.6,2.8,4,0.532051282
72,"Ook komt er een Nationaal Uitvoeringsplan, waarin expliciete keuzes worden gemaakt over welke infrastructuur waar en wanneer beschikbaar komt. Zo bieden we zowel producenten als afnemers van duurzame energie de zekerheid die nodig is om duurzame investeringen te doen",5.2,3.2,2.8,0.607142857
73,"We zorgen dat er per 2030 een capaciteitsmarkt is waarin producenten niet langer betaald krijgen voor de geleverde stroom, maar voor het leveren van flexibel inzetbare capaciteit op momenten dat de elektriciteitsvraag het aanbod uit hernieuwbare bronnen overtreft.",5.4,1.8,2.8,0.892966361
74,De Wet Collectieve Warmte (WCW) wordt zo snel mogelijk afgerond. Dit is nodig om te voorkomen dat de warmtetransitie tot stilstand komt omdat gemeenten en warmtebedrijven wachten op besluitvorming vanuit de Rijksoverheid,4.6,2.2,4.8,0.6875
75,"Er komt een Energie-acceleratiewet, zodat de procedure van aanvraag tot vergunning van kritieke energie-infrastructuur niet langer dan twee jaar duurt",5,2.4,3,0.540540541
76,Daarom voeren we een ambitieus klimaatbeleid met concrete doelen die we vastleggen in de Klimaatwet.,5.6,2.8,3.8,0.551020408
77,"De overheid geeft het goede voorbeeld en legt zonnepanelen op daken van publieke en semi-publieke organisaties die daarvoor geschikt zijn, waaronder scholen, sportverenigingen en buurthuizen.",6.2,2,3,0.925714286
78,"We zijn tegen iedere vorm van houtgestookte biomassacentrales, omdat deze de luchtkwaliteit en gezondheid van omwonenden schaden en voor extra CO2-uitstoot zorgen. Biobrandstoffen die uit afval gewonnen worden en niet leiden tot luchtverontreiniging kunnen een tijdelijk alternatief zijn.",2.8,2.4,6,0.86827957
79,"Ook met sectoren binnen het zogenaamde zesde cluster maken we bindende afspraken over hoe zij gaan verduurzamen, naar voorbeeld van de glastuinbouw.",6.2,2.6,3.2,0.877492877
80,"We zetten in op extra windenergie op zee gekoppeld aan waterstofproductie, nieuwe kerncentrales en versterking van het stroomnet met onder andere batterijtechnologie. Zo halen we de doelen om zelf meer schone energie te produceren.",6.4,2.2,2.8,0.897707231
