,item,prog_human,mant_human,prot_human,similarity
12,"Er zijn extra inspanningen nodig voor meer en betere internationale treinverbindingen, waaronder nachttreinen vanuit Brussel, zodat zij een volwaardig alternatief zijn voor korteafstandsvluchten.",5.8,3.6,4,0.805825243
13,"De overheid heeft een voorbeeldrol in de verduurzaming van haar eigen gebouwenpatrimonium. Een jaarlijkse reductie met 2,09% van het primair energieverbruik is een minimum voor alle overheidsniveaus.",5.4,4,4.2,0.534883721
14,"Er komen strengere regels en betere controles voor risicovolle bedrijven. We pakken milieucriminaliteit hard aan, en zorgen voor meer toezicht en handhaving.",4.4,4.4,6,0.6015625
15,"In 2030 zijn alle nieuwe wagens, het volledige openbaar vervoer en alle taxi’s emissievrij.",6.4,2.8,3.4,0.896057348
16,We investeren in de scheiding van afval- en hemelwater en in meer infiltratiekansen voor hemelwater.,6,3.2,2.8,0.859649123
17,We maken zoveel mogelijk woningen energiezuinig zodat minder warmte nodig is en we schakelen geleidelijk aan over op duurzame verwarming zoals warmtenetten en warmtepompen.,6.2,3.8,3.8,0.649305556
18,"De kerncentrales gaan ten laatste in 2025 dicht en we zetten een punt achter het tijdperk van steenkool, olie en aardgas.",6.2,1.4,3.2,0.929705215
19,"We stimuleren alternatieven voor vlees en stimuleren onderzoek naar alternatieve eiwitbronnen. School-, ziekenhuis- en overheidsrestaurants bieden altijd een kwalitatieve en lekkere plantaardige optie aan.",6,3.6,2.4,0.829365079
20,We kiezen voor natuurlijke oplossingen om uitdagingen als overstromingen en droogte aan te pakken.,5.2,3,5.8,0.788343558
21,"We beschermen waarden als stilte, nachtelijke duisternis en weidse landschappen. We maken werk van een ontsnipperingsplan en zorgen voor ecologische passerellen waarlangs dieren en planten ongestoord kunnen bewegen tussen natuurgebieden.",5.4,5,3.4,0.607142857
22,We maken werk van een betere luchtkwaliteit: We ijveren verder voor ambitieuze productnormering om schadelijke uitstoot aan de bron te verminderen én aan een strikte handhaving van deze normen.,5.8,2.8,5.2,0.865079365
23,Via het mobiliteitsbeleid kiezen we voor een reductie van het aantal gereden kilometers.,5.4,2,3.6,0.882488479
24,"We mogen ons gasnetwerk niet zomaar afschrijven maar moeten dit efficiënter gebruiken. Synthetisch gas, biogas en groengas vormen bijkomende interessante en klimaatneutrale oplossingen, voor verwarming en transport.",6.2,4.2,2.4,0.876383764
25,We zorgen voor criteria om de bouwsector te oriënteren richting circulaire en modulaire gebouwen.,5.6,2.8,2.4,0.752192982
26,"We verbieden dunne, plastic wegwerpzakjes in winkels en microplastics in verbruiksgoederen en pleiten tegelijk voor een ambitieus innovatiebeleid, met een belangrijke rol voor het initiatief ‘Vlaanderen Circulair’.",5.4,2.4,3.2,0.660220994
27,"Een veerkrachtige ruimtelijke inrichting beperkt wateroverlast en watertekorten en draagt zo bij aan de Vlaamse ‘Visie 2050’ om te evolueren naar een ‘robuust watersysteem’ dat in staat is om klimaatschokken op te vangen, onze ecosystemen beschermt en tegelijkertijd vele functies en diensten biedt",6,3.6,5.4,0.739316239
28,"Meer dan de helft van het finale energieverbruik gaat naar verwarming en koeling, véél meer dan naar elektriciteit en naar transport. Duurzame warmte- en koudevoorziening verdient dan ook veel meer aandacht dan in het verleden.",5.4,3.2,3.4,0.626126126
29,"Diepe geothermie biedt kansen in de Noorderkempen en Noord-Limburg, mits voldoende lokale afzetmogelijkheden voor de geproduceerde warmte.",5.8,2.4,1.8,0.932664756
30,We werkten bovendien een kader uit waarbij toekomstige windmolenparken op zee kunnen gebouwd worden zonder één euro subsidie.,6,1.8,2,0.950118765
31,"We leggen niet alleen de focus op groene stroom, maar geven aandacht aan groene warmte. Bij individuele installaties, stimuleren we verder het gebruik van warmtepompen en warmtepompboilers.",5.6,2.8,3,0.849726776
32,Tegen 2050 is het vollédige wagenpark emissievrij geworden.,6,2.6,2.8,0.844322344
33,Zon en wind worden onze belangrijkste energiebronnen. We maken het gemakkelijk om zonnepanelen te leggen met een gepersonaliseerd aanbod en een rollend zonnefonds. Zo krijgen we overal zonnedaken.,5.6,2,2.8,0.906716418
34,Er worden geen nieuwe steenkoolkachels of stookolieketels meer verkocht of geplaatst. De bestaande worden zo snel mogelijk vervangen.,5.2,2.2,3.6,0.653846154
35,We beschermen de meest waardevolle ruimtelijk bedreigde bossen definitief tegen kap en beschermen bestaande monumentale bomen.,3.4,5.6,6,0.80952381
36,We voeren een koolstofheffing in zodat alternatieve energiebronnen en lokaal gemaakte duurzame producten aantrekkelijker worden.,4.4,1.8,4.8,0.693467337
37,Tegen 2030 is minstens 60% van onze stroom echt groen. In 2050 komt alle energie die we gebruiken van hernieuwbare energiebronnen.,5,2.2,4.2,0.586538462
38,We mogen de trein naar de batterijtechnologie niet missen. We hebben alles in huis om een leidende rol te kunnen spelen in deze vernieuwende industrie.,5.4,2.2,2.6,0.752192982
39,"Het statiegeld mag geen extra belasting zijn voor de consument. Buurtwinkels en lokale handelaars mogen niet getroffen worden door de invoering van statiegeld, noch logistiek, noch financieel. Zij mogen niet verplicht worden in te stappen in het systeem.",3.6,2.6,5.6,0.688571429
40,"Een circulaire economie betekent dat Vlaanderen zich moet voorbereiden op een gefaseerde uitstap uit afvalverbranding tegen 2050. De afvalverbrandingsovens die we in tussentijd bewaren, moeten de hoogst mogelijke energie-efficiëntie hebben.",5.2,4,2.4,0.628378378
41,We hervormen alle vormen van ondersteuning voor energie-efficiëntie tot één transparant systeem om energiebesparing in gebouwen te stimuleren.,5.6,2.6,2.8,0.815165877
42,"We hebben veel duurzame energie nodig die inzetbaar is op het ritme van de moderne maatschappij. We moeten onderzoek, innovatie en technologische vooruitgang alle groeikansen geven, zonder reeds op voorhand voorkeuren te uiten of pistes uit te sluiten.",6,3,3.6,0.912698413
43,"We werken een korting op de waterfactuur uit voor gezinnen die hun hemelwater recupereren, laten infiltreren of vasthouden.",5.2,3.2,2.4,0.657051282
44,We verlagen de maximale snelheid op ringwegen om de uitstoot naar onze centra te beperken en de luchtkwaliteit te verbeteren.,4.2,2.2,5.6,0.847031963
45,In de nieuwe legislatuur wordt een statiegeldsysteem het sluitstuk van het integraal verpakkingsbeleid.,5.6,3,3.8,0.77443609
46,"Innovatieve projecten ondersteunden we met investeringssteun: drijvende zonnepanelen, batterijprojecten, kleine en middelgrote windmolens, maar ook projecten rond groene warmte.",6.2,3.4,3.2,0.805687204
47,"We willen de strijd tegen de klimaatverandering ambitieus aanpakken, met realistische en betaalbare doelstellingen.",4.8,2.8,5.2,0.572580645
48,Er is geen plaats voor schadelijke economische activiteiten in de zeereservaten van de Noordzee. We maken een einde aan bodemberoerende visserijtechnieken in die gebieden.,2.6,2,6.4,0.922716628
