,item,prog_human,mant_human,prot_human,similarity
39,"American companies must be more competitive in the world market, and we must be aggressive in promoting U.S. products abroad and securing open markets for them.",6.25,3.75,4.25,0.742063492
40,"The work of the Department of Veterans Affairs - with a staff of 300,000 - is essential to meet our obligations to them: providing health, education, disability, survivor, and home loan benefit services and arranging memorial services upon death.",4.25,6.25,3.5,0.635738832
41,Federal training programs have to be overhauled and made relevant for the workplace of the twenty-first century.,6.25,4.25,3,0.736434109
42,"Just as all other federal programs must contribute to the deficit reduction necessary to put our country back on a sound fiscal footing, so must farm programs contribute to balancing the budget.",3.75,6.25,5,0.511111111
43,"We are committed to creating a rural economy built to last - one focused on reclaiming the security of the rural middle class by growing the food, fiber, and fuel that the rest of the world buys and restoring the basic values of hard work and fair play that made our country great.",6.75,4.5,4,0.84789644
44,"We are committed to protecting our natural resources while creating jobs, preserving habitats, and ensuring that future generations can enjoy our nation's outdoor heritage.",6.75,4.75,6.75,0.703125
45,"We will continue to urge our NATO allies to pool, share, and specialize their capabilities, and to improve their capacity for effective coalition operations.",3.75,5,5.75,0.523809524
46,"Born in an old industrial era beyond the memory of most Americans, it is long overdue for major change, not just another legislative stopgap that postpones a day of reckoning.",6.25,3.25,4,0.800569801
47,"public access to public lands for recreational activities such as hunting, fishing, and recreational shooting should be permitted on all appropriate federal lands.",4.5,5.25,2.75,0.518987342
48,"Our dependence on foreign imports of fertilizer could threaten our food supply, and we support the development of domestic production of fertilizer.",4,2.75,6.5,0.895238095
49,Americans are concerned about the increasing cost of their food under the current Administration policies that restrict energy production and raise costs for producers due to increased regulation.,2.25,3.25,5.5,0.794486216
50,"From investing in clean energy to protecting our air, land, and water, we have made protecting the environment a top priority.",4.75,3.75,6.25,0.574561404
51,Federal and State regulations that thwart job creation must be withdrawn or redrawn so that tribal governments acting on behalf of American Indians are not disadvantaged.,5.5,2.5,4,0.580246914
52,"We believe the foundation of global security remains our relationships with traditional allies in Europe and Asia, and our enduring commitments to their defense.",2.25,5.5,3.75,0.868766404
53,"We have expanded broadband access to nearly seven million rural Americans, including rural businesses, creating new jobs.",5.75,2.25,2.5,0.74863388
54,We signed into law changes to help entrepreneurs raise capital while maintaining key investor protections. Small businesses are now once again creating jobs. We have helped small businesses provide health insurance to their workers with a tax credit to help pay for the cost of coverage.,5.5,2.5,2.75,0.711779449
55,"We have developed historic fuel efficiency standards that will limit greenhouse gas emissions from our vehicles for the first time in history, made unprecedented investments in clean energy, and proposed the first-ever carbon pollution limits for new fossil-fuel-fired power plants.",6,3.75,3.5,0.622710623
56,We support expanding and making permanent the Research and Experimentation Tax Credit.,5,4.5,2.75,0.646766169
57,"Like all Americans, American Indians want safe communities for their families; but inadequate resources and neglect have, over time, allowed criminal activities to plague Indian country.",2.75,2,5.25,0.793764988
58,Uncertainty is threatening the survival of our nation's farmers. America's growers and farmers are aging and much of America's farmland will be passed to the next generation of farmers with families.,2.5,4,5.75,0.729658793
59,"Because of their care for the land, the United States does not depend on foreign imports for sustenance the way we depend on others for much of our energy.",2.75,3.75,5.5,0.64874552
60,"the federal government should encourage Indian tribes to develop their own policies to achieve program objectives, and should defer to tribes to develop their own standards, or standards in conjunction with State governments.",5.5,2.75,3.75,0.591397849
61,"The aftermath of the last decade's conflicts in Iraq and Afghanistan has put enormous pressure on the political and military infrastructure of Pakistan, which faces both internal terrorism and external dangers. The working relationship between our two countries is a necessary, though sometimes difficult, benefit to both, and we look toward the renewal of historic ties that have frayed under the weight of international conflict.",3,4.25,5.5,0.72
62,"Amtrak continues to be, for the taxpayers, an extremely expensive railroad. The public has to subsidize every ticket nearly $50. It is long past time for the federal government to get out of way and allow private ventures to provide passenger service to the northeast corridor. The same holds true with regard to high-speed and intercity rail across the country",5.25,2.25,3.5,0.675840979
63,"We will reform the tax code to allow businesses to generate enough capital to grow and create jobs for our families, friends and neighbors all across America.",5.25,2.5,2.5,0.683195592
