"...1","item","prog_human","mant_human","prot_human","similarity","item_length","word_count","complete_sentence"
"48","Introduce without delay the National Vetting Bureau Bill.",6,2,4.25,0.842832469775475,57,8,TRUE
"54","Establish a National Housing Strategy and a National Housing Agency to plan and regulate all aspects of housing provision on an all-Ireland basis.",6.25,3.5,6,0.762762762762763,146,23,TRUE
"55","Funding technical assistance to aid organisations develop carbon mitigation programmes.",6.25,2.75,6.5,0.984202211690363,87,10,TRUE
"56","It means providing intervention and support services for individuals and families at risk.",6.5,2.75,6.25,0.883096366508689,90,13,TRUE
"59","We will introduce 500 additional places on the Momentum scheme for jobseekers with disabilities.",7,3.75,5.75,0.65374677002584,96,14,TRUE
"61","Centralise application data to ensure geographical consistency in decisionmaking.",5.5,3.25,3.25,0.530864197530864,81,9,TRUE
"64","There should be full public scrutiny of public spending.",6.25,1.75,2.5,0.968936678614098,56,9,TRUE
"66","We also applaud the Coast Guard men and women who serve and have served in the Persian Gulf and the Mediterranean in Operation Iraqi Freedom.",2.25,5.25,4.25,0.568452380952381,141,25,TRUE
"69","Fund nationwide broadband coverage.",6.75,2.5,3,0.877734877734878,35,4,TRUE
"71","The public investment of €103m would mean parents would save on the cost of school books and school transport costs.",5.25,2.25,5,0.764411027568922,116,20,TRUE
"73","We oppose all stealth and double taxes including refuse charges and plans to introduce water charges, and a “household tax”.",5.5,2.25,6,0.894472361809045,124,20,TRUE
"75","And the State Department is funding a program that finances gay rights organizations to combat discrimination, violence, and other abuses.",5.75,3.5,4.5,0.808743169398907,138,20,TRUE
"82","Radical restructuring of health care would be unwise.",1.5,5.25,5.25,0.795555555555556,53,8,TRUE
"83","Female participation on state boards has been further increased.",6.5,2.75,2,0.953405017921147,64,9,TRUE
"84","We will increase funding for domestic violence refuges by €5.45 million in year one of government.",5.5,2.75,5.5,0.793388429752066,98,16,TRUE
"86","Has consistently supported an independent state for the Palestinian people alongside the state of Israel.",3,5.75,4.25,0.538461538461538,105,15,TRUE
"92","To achieve this, we will put new supports in place for childminders, and ensure they can benefit in full from Labour’s subsidised childcare programme.",6.25,3.75,2,0.844748858447489,150,24,TRUE
"93","We will move towards eliminating landfilling of municipal waste, while also maximising the resources that can be recovered from this waste.",6,3.25,4.5,0.622710622710623,139,21,TRUE
"94","Volunteering Ireland has a long tradition of volunteering.",2.25,6,2.5,0.862559241706161,58,8,TRUE
"95","Abolish excise duty on biofuels.",6.25,2,3.75,0.881278538812785,32,5,TRUE
"96","We can respect the rights of responsible gun owners while keeping our communities safe.",2.25,7,4.5,0.843788437884379,87,14,TRUE
"97","This will be complemented by a broader translation policy and a reformed tourist visa process.",5.5,3.5,2.75,0.824742268041237,94,15,TRUE
"99","Instead of privatising the banks, put them under the democratic control of working class people and direct credit for need not profit.",5.25,2,2,0.615384615384615,134,22,TRUE
"102","We are opposed to incinerators as a solution to the waste problem because they pose serious health risks.",3.75,2.75,6.75,0.831730769230769,105,18,TRUE
"103","It would allow young people, regardless of background, to make decisions about their futures independent of their family circumstances.",6.25,3.5,4,0.770226537216828,135,19,TRUE
"104","We argued for a fairer price for farmers and promoted the advantages of reviving genuine farmers cooperatives to challenge the power of agri-business.",6,2.25,4,0.773175542406312,150,23,TRUE
"108","We commit ourselves to the principle of sustainable development.",6.25,3,4,0.531328320802005,64,9,TRUE
"110","Democrats will take steps to stop corporate concentration in any industry where it is unfairly limiting competition.",3.75,2,5.25,0.606299212598425,116,17,TRUE
"118","Establish a new body with an expanded remit, the Protection Review Tribunal, to replace the Refugee Appeals Tribunal.",5.75,3,3.75,0.676975945017182,117,18,TRUE
"119","Our workplaces must be revolutionized to make them more flexible and productive.",5.75,2,3,0.788213627992634,80,12,TRUE
"121","It is high time that the super-rich showed a little patriotism!",4,4.25,3.5,0.666666666666667,63,11,TRUE
"123","The approach of a Fine Gael / Labour government in power would not be fundamentally different than this government.",2,5.25,2.5,0.875283446712018,115,19,TRUE
"124","That’s what we’ve done in this country for more than a century.",2.5,6,3,0.852713178294574,63,12,TRUE
"125","But Cuba must change.",5.25,2,3.25,0.612403100775194,21,4,TRUE
"126","Create bereavement specialist teams in all maternity units to deal with the tragic cases of infant deaths.",6,2.5,4.25,0.73015873015873,106,17,TRUE
"127","Refusal to participate will result in loss of remission.",2.5,2.75,5,0.564102564102564,56,9,TRUE
"128","Working closely with the voluntary housing associations, we will eliminate long-term homelessness.",6.5,3,3.5,0.813953488372093,98,12,TRUE
"130","In each of these sectors Ireland has everything to gain by advancing a more sustainable business approach.",6,4.25,4,0.654970760233918,106,17,TRUE
"131","Labour recognises the incredible work done by our armed servicemen and women in maintaining our excellent humanitarian reputation abroad.",2.5,5.5,3.5,0.773809523809524,137,19,TRUE
"137","No to compulsory work for dole schemes or fake jobs.",4.25,3.25,5.5,0.683060109289617,52,10,TRUE
"139","Bridge the Digital Divide Digital infrastructure is now essential for supporting employment in all areas – yet policy has been slow and unambitious.",4.75,2.5,4.5,0.80365296803653,148,23,TRUE
"141","We believe they are worth the investment.",4.75,4.25,3,0.538461538461538,41,7,TRUE
"142","Europe’s strengths are its economic diversity and high skill base.",3.75,5.25,3,0.841269841269841,66,10,TRUE
"144","Provide self-employed people with equal social welfare and pension rights of PAYE workers; 11.",6,3.75,3.25,0.825242718446602,94,14,TRUE
"145","The international promotion of human rights reflects our heritage, our values, and our national interest.",4.25,5.25,3.75,0.511904761904762,105,15,TRUE
"147","We will monitor the application by local authorities of the Retail Planning Guidelines to ensure they promote retail competition.",5.5,3.5,4.25,0.761904761904762,129,19,TRUE
"149","We will introduce a new Community Justice Intervention system to deal with low-level offenders to divert them from the court system.",5.75,3.5,5,0.582010582010582,132,21,TRUE
"150","Provide greater access to start-up incentives for rural businesses.",5.25,3.5,3.75,0.612403100775194,67,9,TRUE
"151","This would be a revenue neutral tax reform designed to encourage the purchase of low-emissions vehicles.",5.25,3.75,3.5,0.674418604651163,104,16,TRUE
"152","High-wage jobs are more dependent than ever on high-level skills.",3.25,5,3,0.608187134502924,65,10,TRUE
"155","In the longer-term, see progressive multiple bands and rates to ensure that those who have the most pay the most.",5,2.5,4.25,0.869198312236287,113,20,TRUE
"156","Ensure 3% of GDP is invested in Research & Development.",5.25,4.25,4.25,0.645833333333333,55,10,TRUE
"157","We must accelerate training for the Afghan army and police.",6.25,4,6.5,0.652014652014652,59,10,TRUE
"162","After allowing bin Laden to escape from our grasp at Tora Bora, he diverted crucial resources from the effort to destroy al Qaeda in Afghanistan.",2.5,3,5.25,0.563106796116505,145,25,TRUE
"166","Expand the current free telephone rental scheme by providing for free broadband for older people.",5.5,2.25,4.75,0.841726618705036,97,15,TRUE
"168","We will support older people by increasing home help hours, respite hours and by providing additional nursing home beds.",6.25,4.75,5.5,0.876543209876543,120,19,TRUE
"173","Capital investment will therefore support direct job creation in world-class, export-oriented enterprises.",5.25,3.5,3.25,0.52046783625731,106,12,TRUE
"174","A simple and efficient certification process will be introduced.",6,2.25,4.5,0.87719298245614,64,9,TRUE
"176","The Seanad as constituted serves no useful purpose and should be abolished.",5,2.25,1,0.796019900497512,75,12,TRUE
"178","Provide increased funding for school libraries and greatly improve the level of support provided for book loan schemes.",6.5,4.75,3.75,0.505376344086021,119,18,TRUE
"186","Inevitably the parties will react to changed circumstances by moving towards a more relaxed, less whipped regime.",5.25,4.75,3.25,0.83974358974359,113,17,TRUE
"187","For a europe for the millions not the millionaires.",5.75,2.25,4.25,0.835585585585585,51,9,TRUE
"189","We will seek to maximise the spin-off benefits from rural recreational pursuits in areas such as in the rural tourism, food and enterprise sectors.",5.25,4.75,3.25,0.788461538461538,147,24,TRUE
"192","The AAA stands for: stop economic evictions.",4.75,3,5.25,0.651741293532338,44,7,TRUE
"193","Investment in public infrastructure has been set at the highest level in Europe as a percentage of national income.",6.25,3.75,3.25,0.932795698924731,115,19,TRUE
"195","We will help reduce heat stress in urban neighborhoods by planting millions of trees.",6.5,2.75,6,0.840871021775544,85,14,TRUE
"196","Increase home help hours and home help packages .",6,3.25,5,0.702508960573477,49,9,TRUE
"197","We Independents have resolved to retain our independence.",2.5,6.5,4.75,0.829015544041451,57,8,TRUE
"198","We applaud the establishment of a NATO operation to train Iraqi security forces.",4.25,3.5,6.25,0.525773195876289,80,13,TRUE
"199","At a time when all good jobs increasingly depend on advanced skills, we will strengthen technical training for those who do not attend college.",6,4.25,3.5,0.70042194092827,143,24,TRUE
"202","Abolish the Financial Emergency Measures in the Public Interest (FEMPI) legislation; 8. Restore the retirement age to 65; 9.",6.25,2.5,5.5,0.853615520282187,124,19,TRUE
"203","The next government should ratify the UN Convention on the rights of persons with disabilities, without delay.",5.5,2.5,4.25,0.574923547400612,110,17,TRUE
"204","We will relieve the tax burden on middle class Americans by forcing the rich to pay their fair share.",6.5,2.25,2.5,0.908424908424909,101,19,TRUE
"206","Introduce cycle training in schools as part of the curriculum.",6.75,2.5,2,0.91131498470948,62,10,TRUE
"207","The federal government will meet its financial obligations for elementary and secondary education and for special education.",3.5,5.5,3.25,0.584474885844749,124,17,TRUE
"209","Our resolve to fix the health crisis is stronger than ever.",6.5,2,4,0.852459016393443,59,11,TRUE
"211","We will fund VAT reductions with revenue generated by levies on pollution.",5.5,2,4.5,0.641025641025641,74,12,TRUE
"212","This represents a real increase of 58.2 %.",6,2.75,3.25,0.82312925170068,42,8,TRUE
"213","More closely integrate treatment of drug dependency and mental health, with promotion of non-drug options for personal and social problems; 14.",5.75,2.75,6.25,0.765503875968992,143,21,TRUE
"216","Our mission is nothing less than to end the abuses born out of civil war politics.",6.25,2.5,6,0.87519747235387,82,16,TRUE
"219","At the same time we will introduce a new framework for delivering infrastructure on time and on budget, as set out elsewhere in this manifesto.",6.25,3,3,0.820512820512821,143,25,TRUE
"220","Middle Ireland needs protection to combat the banks’ role as their persecutors- in- chief.",4.25,2.75,6.25,0.763513513513513,90,14,TRUE
"221","The Green Party will; Set down a timeline for the full implementation of the Victim’s Charter.",5.75,3,6,0.771929824561404,94,16,TRUE
"227","New Irish food businesses will be developed through a series of coordinated efforts across the food sector and state agencies.",5.5,2.5,4,0.679012345679012,126,20,TRUE
"228","Crucial to achieving all of these objectives has been, and will remain, expanded cooperation with Russia.",3,6.25,5.25,0.864661654135338,105,16,TRUE
