"item","prog_human","mant_human","prot_human","similarity"
"The Republican platform favors educational opportunity and promotion of education. I have been trying to get Congress to do something about that ever since they came there, and that bill is at rest in the House of Representatives.",5.4,3.6,3.4,0.751322751322751
"Look at the facts. Just look at the facts: 4.4 million Americans now living in a home of their own for the first time; hundreds of thousands of women have started their own new businesses; more minorities own businesses than ever before; record numbers of new small businesses and exports.",5.6,3.6,3,0.6875
"I am going to do whatever it takes to make sure the disabled are included in the mainstream. For too long, they've been left out. But they're not going to be left out anymore.",6.6,2.8,3.6,0.834795321637427
"This Nation--this generation--in this hour, has man's first chance to build the Great Society--a place where the meaning of man's life matches the marvels of man's labor.",6.2,3.8,2.8,0.835034013605442
"In our foreign relations we have maintained peace everywhere and sought to promote its continuance and permanence.",3.8,5.8,4.2,0.571428571428571
"We need rebirth of the American tradition of leadership at every level of government and in private life as well. The United States of America is unique in world history because it has a genius for leaders--many leaders--on many levels. But, back in 1976, Mr. Carter said, Trust me. And a lot of people did. Now, many of those people are out of work. Many have seen their savings eaten away by inflation. Many others on fixed incomes, especially the elderly, have watched helplessly as the cruel tax of inflation wasted away their purchasing power. And, today, a great many who trusted Mr. Carter wonder if we can survive the Carter policies of national defense.",3.2,3.2,6.4,0.916666666666667
"This year we have had thirty state primaries--more than ever before—making it possible to take our campaign directly to the people of America: to homes and shopping centers, to factory shift lines and colleges, to beauty parlors and barbershops, to farmers, markets and union halls.",4.4,2.4,1.8,0.772182254196643
"So much promise stretches before us. Americans have always reached for the impossible, looked to the next horizon, and asked: What if?",6.2,2.8,2.8,0.934673366834171
"This, in its broad essentials, is the basic structure of our Government.",2,5,3.2,0.596491228070175
"I report tonight as President of the United States and as Commander in Chief of the Armed Forces on the strength of your country, and I tell you that it is greater than any adversary. I assure you that it is greater than the combined might of all the nations, in all the wars, in all the history of this planet. And I report our superiority is growing.",6,4.6,4.6,0.534246575342466
"Well, tonight I say to you: Join me in our new crusade, to reap the rewards of our global victory, to win the peace, so that we may make America safer and stronger for all our people.",6.2,3.4,4.2,0.558404558404558
"That's the country we're fighting for. That's the future we're working toward. And so, my friends, it is with humility, determination and boundless confidence in America's promise that I accept your nomination for president of the United States!",5.8,3.6,3.4,0.602150537634409
"That's the promise we need to keep. That's the change we need right now. So let me spell out exactly what that change would mean if I am President.",6.4,3.2,3.6,0.612403100775194
"My fellow Americans, this is the most important election of our lifetime. The stakes are high. We are a nation at war – a global war on terror against an enemy unlike any we have ever known before. And here at home, wages are falling, health care costs are rising, and our great middle class is shrinking. People are working weekends; they're working two jobs, three jobs, and they're still not getting ahead.",3.6,3.2,6.2,0.613588110403397
"Our aims—the aims of this Republican crusade—are clear: to sweep from office an administration which has fastened on every one of us the wastefulness, the arrogance and corruption in high places, the heavy bur-dens and anxieties which are the bitter fruit of a party too long in power.",5.8,3.6,5.8,0.655677655677656
"That's what this President doesn't seem to understand. Business and growing jobs is about taking risk, sometimes failing, sometimes succeeding, but always striving. It is about dreams. Usually, it doesn't work out exactly as you might have imagined. Steve Jobs was fired at Apple. He came back and changed the world.",6,3.2,3.2,0.748299319727891
"No one could be more profoundly grateful than I am for the manifestations of public confidence of which you have so eloquently spoken. It shall be my aim to attest this appreciation by an unsparing devotion to what I esteem the best interests of the people, and in this work I ask the counsel and support of you, gentlemen, and of every other friend of the country. The generous expressions with which you. sir convey the official notice of my nomination are highly appreciated, and as fully reciprocated, and I thank you, and your associates of the Notification Committee, and the great party and convention at whose instance you come for the high and exceptional distinction bestowed upon me.",4.6,3.2,2,0.750656167979003
"So join with me in this campaign. Lend Senator Eagleton and me your strength and your support, and together we will call America home to the ideals that nourished us from the beginning.",6,3.2,3,0.848670756646217
"And it is to these rights—the rights of law and order, the rights of life, the rights of liberty, the right of a job, the right of a home in a decent neighborhood, and the right of an education—it is to these rights that I pledge my life and whatever capacity and ability I have.",4.6,4.2,3.8,0.604166666666667
"We are the party that trusts in the people. I trust in the people. That is the heart of all I have tried to say tonight.",2,5.4,2.8,0.549828178694158
"Not satisfied with assaulting the currency and credit of the Government, our political adversaries condemn the tariff enacted at the extra session of Congress in 1897, known as the Dingley act, passed in obedience to the will of the people expressed at the election in the preceding November, a law which at once stimulated our industries, opened the factories and mines, and gave to the laborer and to the farmers fair returns for their toil and investment. Shall we go back to a tariff which brings deficiency in our revenues and destruction to our industrial enterprises?",3.8,3.8,4.6,0.666666666666667
"Everybody knows that I recommended to the Congress the civil rights program. I did that because I believed it to be my duty under the Constitution. Some of the members of my own party disagree with me violently on this matter. But they stand up and do it openly! People can tell where they stand. But the Republicans all professed to be for these measures. But Congress failed to act. They had enough men to do it, they could have had cloture, they didn't have to have a filibuster. They had enough people in that Congress that would vote for cloture.",3.4,3.2,5.2,0.552511415525114
"You and I have been working toward a more secure future by rebuilding our military strength—steadily, carefully, and responsibly. The Republicans talk about military strength, but they were in office for 8 out of the last 11 years, and in the face of a growing Soviet threat they steadily cut real defense spending by more than a third.",4,2.6,5.2,0.705426356589147
"Along with this gigantic tax cut, the new Republican leaders promise to protect retirement and health programs and to have massive increases in defense spending-and they claim they can balance the budget. If they are serious about these promises, and they say they are, then a close analysis shows that the entire rest of the Government would have to be abolished, everything from education to farm programs, from the G.I. bill to the night watchman at the Lincoln Memorial—and their budget would still be in the red. The only alternative would be to build more printing presses to print cheap money. Either way, the American people lose. But the American people will not stand for it.",3.2,3.2,5.8,0.666666666666667
"And I make this grave charge against this administration:",4.6,2.2,5,0.789173789173789
"These challenges are not all of government's making. But the failure to respond is a direct result of a broken politics in Washington and the failed policies of George W. Bush.",3.2,2.2,4.2,0.810810810810811
"My friends, you and I as common-sense citizens know that it would help to protect the savings of the country from the dishonesty of crooks and from the lack of honor of some men in high financial places. Publicity is the enemy of crookedness.",3.4,3.4,6.4,0.68595041322314
"Improvement through planning is the order of the day. Even m military affairs, things do not stand still. An army or a navy trained and equipped and fighting according to a 1932 model would not have been a safe reliance in 1944. And if we are to progress in our civilization, improvement is necessary in other fields—in the physical things that are a part of our daily lives, and also in the concepts of social justice at home and abroad.",6.6,3.2,4,0.564102564102564
"We will appoint prosecutors, judges, justices who believe in enforcing the law, not enforcing their own political agenda.",5.4,2.6,5.8,0.72168284789644
"We'll make sure our schools have the resources they need to be open, safe, and effective.",6.2,5.4,3.2,0.631720430107527
"But we must demand excellence at every level of education. We must insist that our students learn the old basics we learned and the new basics they have to know for the next century. Tonight let us set a clear national goal: All children should be able to read on their own by the third grade. When 40 percent of our 8year-olds cannot read as well as they should, we have to do something. I want to send 30,000 reading specialists and national service corps members to mobilize a volunteer army of one million reading tutors for third graders all across America. They will teach our young children to read.",6.6,3.8,3.4,0.585585585585586
"In giving its assent to this treaty the Senate has in mind the fact that the. League of Nations, which it em bodies, was devised for the sole purpose of maintaining peace and comity among the nations of the earth and preventing the recurrence of such destructive conflicts as that through which the world has just passed. The co-operation of the United States with the League and its continuance as a member thereof, will naturally depend upon the adherence of the League to that fundamental purpose.",3.6,6,3.6,0.551378446115288
"I see a day when we can look back on massive breakthroughs in solving the problems of slums and pollution and traffic which are choking our cities to death.",6.6,3.8,3.6,0.537467700258398
"I will begin my presidency with a jobs tour. President Obama began with an apology tour. America, he said, had dictated to other nations. No Mr. President, America has freed other nations from dictators.",5.6,2.6,3,0.75187969924812
"The first one of these was so rotten that they couldn't even stomach it themselves. They finally did send one that was somewhat improved, but it still helps the rich and sticks a knife into the back of the poor.",4.75,1.75,5,0.817409766454352
"And to the veterans of our wars, especially to those who were stricken and wounded in the country's service and whose confidence has been so cruelly and corruptly abused, we shall give, in honor and in honesty, the grateful care they have so justly earned.",5.25,3.75,5.75,0.532051282051282
"Thank you, Tim Scott. Bring home our medical supply chains, and we will end our resilience for bad things, we will go right after China. We will not rely on them one bit. We're taking our business out of China. We are bringing it home. We want our business to come home.",6,1.75,5,0.928270042194093
"The same thing is true of a similar limitation on the importation of tobacco. It is not well for the Philippines to develop the sugar industry to such a point that the business of the islands shall be absorbed in it, because it makes a society in which there are wealthy landowners, holding very large estates, with valuable and expensive plants, and a large population of unskilled labor. In such a community there is no farming or middle class tending to build up a conservative, self-respecting community, capable of self-government. There are many other products, notably that of Manila hemp, to which the energy of the islands can be, and is being, directed, the cultivation of which develops the class of small and intelligent farmers.",5.5,2,5.5,0.918367346938775
"In some respects, as I think my good wife suggested an hour or so ago—the next few months will be different from the usual national campaigns of recent years.",5.25,2.5,2.5,0.705234159779614
"I shall call to my aid those men best qualified to conduct the public business—and I mean just that.",5.75,3.25,5.5,0.523809523809524
"Our children will breathe easier because of our new clean air pact.",5.75,2,5.75,0.943703703703704
"And here's what I believe. I believe America thrives when the middle class thrives. I believe our economy isn't working the way it should because our democracy isn't working the way it should.",5.75,2.75,3,0.664160401002506
"I accept the duty of leading this party to victory this year.",5.25,3.25,3.75,0.634615384615385
"There has been honest contention, spirited disagreement, and I believe considerable hot argument. But do not let anybody be misled by that. You have given here in this hall a moving and dramatic proof of how Americans, who honestly differ, close ranks and move forward, for the Nation's well-being, shoulder to shoulder. Let me assure you that beginning next January 20, there will be teamwork in the Government of the United States of America.",6.5,1.75,6,0.952089704383282
"Decades of record immigration have produced lower wages and higher unemployment for our citizens, especially for African-American and Latino workers. We are going to have an immigration system that works, but one that works for the American people.",5.25,2,4.75,0.877551020408163
"This brief outline of the views and purposes of the party as I understand them might well serve all the demands of this occasion, but in the platform we have adopted I find a further declaration concerning which my own convictions are too profound for silence. We have taken occasion to reaffirm our belief in the constitutional guarantees of religious freedom, and to deplore and condemn any effort from whatever source to arouse racial or religious dissension in this country.",6,2,4,0.763888888888889
"My fellow Americans, I know tonight that we must resist the hate; we must remove the doubts, but above all, we must be worthy of the love and the trust of millions on this earth for whom America is the hope of the world.",6.25,2.75,6,0.94535519125683
"We oppose wars and military interventions waged by the imperialist powers such as those of the Us, europe and russia in the Middle east and North africa in the last decade and a half.",6.25,1.5,5.75,0.949031600407747
"Gael will work with all stakeholders to facilitate this process.",5.5,2,2.75,0.805725971370143
"Reforms must protect consumers from abuse and reflect a global commitment to end corruption.",5,1.75,6,0.950773558368495
"We will increase the number of schools offering music and art to Leaving Certificate level.",6.25,2.5,4,0.799220272904483
"Social Partnership and the Public Sector Social Partnership has made a critical contribution to Ireland’s economic and social development over the last twenty years.",3.25,5.5,2.75,0.501618122977346
"These consequences include being expelled from the parliamentary party, which results in the loss of much needed parliamentary funding and basic resources such as administrative, and research support.",3.25,4,5.75,0.637130801687764
"We will also enact legislation to strengthen the post-release supervision of sex offenders and to provide for disclosure by Gardaf of details on sex offenders where they believe public safety concerns exist.",6,2.75,6.5,0.88107202680067
"Elsewhere powerful lobby groups, like the Irish Farmers Association, have failed to reveal important information to their members.",3.25,1.75,5.75,0.889455782312925
"This will ensure tax raised is spent on Irish public services– not servicing or paying off the debt incurred for bailing out the banks.",6,2.75,4,0.640826873385013
"Climate change is an existential threat to that fundamental obligation.",4,2.5,6,0.738738738738739
"When these rights are secure in this world of ours, the permanent ideals of the Republican Party shall have been realized.",3.5,5,6,0.56140350877193
"While there are an estimated 13,000 heroin users in Dublin alone, there are only an estimated 22 detoxification beds in the State.",5.5,1.75,6,0.908622908622909
"A “Next Generation” Telecoms Network",5.5,2,2.5,0.86046511627907
"4. Reverse the cuts –",6,1.25,4.75,0.938144329896907
"These are the people who should be appointed to boards not political cronies.",5.25,2,4.75,0.714285714285714
"To do this right, we must truly internationalize both politically and militarily: we cannot depend on a US-only presence.",6.25,2.25,5.75,0.904970760233918
"Those who preside over the worst energy shortage in our history tell us to use less, so that we will run out of oil, gasoline, and natural gas a little more slowly. Conservation is desirable, of course, for we must not waste energy. But conservation is not the sole answer to our energy needs.",5.5,2.75,6.25,0.832310838445808
"In the richest country in the history of the world, this Obama economy has crushed the middle class. Family income has fallen by $4,000, but health insurance premiums are higher, food prices are higher, utility bills are higher, and gasoline prices have doubled. Today more Americans wake up in poverty than ever before. Nearly one out of six Americans is living in poverty. Look around you. These are not strangers. These are our brothers and sisters, our fellow Americans.",5.5,1.75,5.5,0.877037037037037
