,item,prog_human,mant_human,prot_human,similarity
12,"Der Nutzung von Regenwasser wollen wir eine deutlich größere Aufmerksamkeit schenken und hierzu das Konzept von Schwammstädten, etwa durch Anpassungen bei Straßenrändern zur Versickerung im Zuge von Modernisierungen, in Beispielkommunen testen.",5.75,3,4,0.788530466
13,"Unsere Dächer, Fassaden und Balkons können zu Kraftwerken werden – jede Fläche mit Solaranlage hilft dem Klimaschutz. Die eigene Strom- und Wärmeenergie wird dezentral und vor Ort erzeugt und genutzt.",6.5,3.25,3.75,0.759637188
14,"Fliegen bringt unsere Welt näher zusammen, ist aber eine der klimaschädlichsten Fortbewegungsarten. Kurzstreckenflüge wollen wir ab sofort Zug um Zug verringern und bis 2030 überflüssig machen.",6,2.25,5,0.906077348
15,"Wenn wir unsere Lebensgrundlage schützen wollen, wenn wir auch die zweite große ökologische Krise, das Artensterben, eindämmen wollen, dann bedarf es mehr als einer Kurskorrektur, dann brauchen wir einen neuen Kurs. Unser Ziel ist Zero Waste. Es soll kein Müll mehr verursacht und die Ressourcenverschwendung gestoppt werden.",6.5,2.5,5.5,0.903846154
16,"Busse und Bahnen sind für alle da, bieten preiswerte Mobilität und verringern den Autoverkehr. Wir wollen die Fahrgastzahlen im ÖPNV bis 2030 verdoppeln.",6,3,3.75,0.854700855
17,"Alle diese Folgen werden sich vervielfachen, wenn wir jetzt nicht umsteuern. Je entschiedener wir handeln, desto mehr Freiheiten und Alternativen sichern wir für jetzige und künftige Generationen.",5.5,3,5,0.761904762
18,"Je weniger Energie benötigt wird, desto schneller schaffen wir 100 Prozent Erneuerbare und erreichen die Klimaziele und sparen Kosten für Energieinfrastruktur. Klimaschutz lohnt sich.",5.5,3,5,0.73015873
19,Der Artenrückgang und die Zerstörung natürlicher Lebensräume schreiten auch global weiter voran. Wir werden uns für ein ambitioniertes Abkommen der Vereinten Nationen zum Erhalt der biologischen Vielfalt einsetzen und es in Deutschland umsetzen.,5.25,3,5.25,0.711934156
20,"Um Klimawandel, Artensterben und übermäßigem Rohstoffverbrauch entgegenzuwirken, muss sich die Art und Weise, wie wir in Europa leben, konsumieren und produzieren grundlegend ändern .",5.25,2.75,5.25,0.756666667
21,"Nach unserer Ansicht schließen sich Wirtschaftlichkeit und ökologischer Wert der Wälder nicht gegenseitig aus. Vielmehr wird durch eine wirtschaftliche Nutzung der Wälder der ökologische Wert erhöht, wie auch der wirtschaftliche Wert eines Bestandes durch dessen ökologische Aufwertung gesteigert wird.",3,5.25,2.25,0.891737892
22,"Mehr als die Hälfte der Lebensmittelverschwendung findet in Haushalten statt. Der größte Hebel ist also, ein Umdenken bei den Verbraucher*innen zu bewirken, weswegen Aufklärungsarbeit zur Ürzeugung und Verwendung von Lebensmitteln sinnvoll ist.",6,3,5,0.714285714
23,"Wir fordern, dass Umwelt- und Klimaschutz als Erweiterung der Grundrechte in die Verfassung aufgenommen werden. Verbindliche Klimaziele und Emissionsgrenzen müssen den Konzernen klare Vorgaben machen.",6.25,3.25,5.5,0.698005698
24,"Für den durchschnittlichen Verbrauch von elektrischem Strom, Wasser und Heizenergie wollen wir preisgünstige Sockeltarife schaffen. Was über den durchschnittlichen Verbrauch hinausgeht, wird teurer. Damit werden Anreize zum Stromsparen geschaffen.",5.25,2.75,5,0.802197802
25,Wir setzen uns für den Atomausstieg in Europa und überall auf der Welt ein. Der Ausstieg aus der Atomkraft muss im GG festgeschrieben und alle in Betrieb befindlichen Atomkraftwerke müssen unverzüglich abgeschaltet werden.,6,2.75,4.5,0.645669291
26,Wir wollen unseren natürlichen Lebensraum erhalten. Dazu müssen wir raus aus der Wegwerfgesellschaft. Der Kreislaufwirtschaft gehört die Zukunft.,6,2.5,4.75,0.931567329
27,"Der Ausstieg aus der Atomenergie ist Ende nächsten Jahres bereits vollzogen. Auch der Kohleausstieg ist beschlossene Sache. Dabei gilt, je schneller der Ausbau der Stromerzeugung aus erneuerbaren Energien erfolgt und je schneller die nötigen Stromleitungen und Verteilnetze gebaut werden, desto eher kann auf fossile Energieträger verzichtet werden.",6.25,2.75,4.25,0.781531532
28,"Überlebensfragen der gesamten Menschheit und deshalb Schwerpunkte unserer Klima-Außenpolitik sind das Erreichen der Klimaziele sowie die Bewahrung der Artenvielfalt und der Wälder. Wo der Klimawandel die Sicherheit gefährdet, muss die internationale Gemeinschaft präventiv handeln.",5,2.5,5,0.72
29,"Wir setzen uns dafür ein, dass internationale Kohlenstoffsenken wie Regenwälder geschützt werden und ihre Leistung honoriert wird. Unser ist Ziel ist, dass langfristig ein globaler Emissionshandel etabliert wird.",3.75,5.75,2.5,0.788113695
30,"Wir werden beim Klimaschutz entscheidend weiterkommen, wenn wir auf Innovationen und neue Technologien setzen.",5.25,3.5,3.5,0.598639456
31,"Wir werden Lebensmittelspenden an die Tafeln, soziale Einrichtungen und Organisationen, die Lebensmittel retten, vereinfachen – soweit nötig auch durch gesetzliche Änderungen.",4.8,3.6,2.4,0.862244898
32,"Wir wollen, dass in Deutschland weiterhin die besten Autos der Welt produziert werden – und zwar mit allen Antriebsformen. Wir setzen dabei neben der Elektromobilität auch auf synthetische Kraftstoffe im Straßenverkehr und wollen sie – wie auch Wasserstoff – perspektivisch auch im Schwerlastverkehr einsetzen.",4.6,6.2,3,0.673835125
33,"Für die Autobahnen wollen wir ein Sicherheitstempo von 130 km/h. Wenn besondere Gründe es notwendig machen, wie beispielsweise in Städten oder Ballungsgebieten oder um sie herum, dann gelten maximal 120 km/h.",5.8,3,5.8,0.861751152
34,Klimaneutralität ist die große Chance für den Industriestandort Deutschland.,5.6,3,3.8,0.882591093
35,"Die Zahl von Mittel- und Langstreckenflügen gilt es zu vermindern, zum Beispiel indem öffentliche und privatwirtschaftliche Geschäftsreisen durch die Nutzung von Videokonferenzen entfallen.",5.6,2.4,6.6,0.95890411
36,"Klimaschutz ist keine Zukunftsaufgabe, sondern Klimaschutz ist jetzt. Wenn wir zu Beginn dieses Jahrzehnts konsequent handeln und die sozial-ökologische Transformation einläuten, können wir die Klimakatastrophe noch verhindern und zu einer klimagerechten Welt beitragen.",5.6,3.8,6.8,0.786324786
37,"Wir brauchen mehr Tempo beim Ausbau der Stromnetze, Bahnstrecken, Wasserstoffleitungen und Ladesäulen für Elektroautos. Der Ausbau dieser Infrastrukturen muss dem Bedarf vorausgehen.",7,2.6,2.6,0.994535519
38,"Immer weniger Gegenstände werden so gebaut, dass sie leicht recycelt werden können. Oftmals wäre dies mit nur kleinen Änderungen in der Herstellung machbar. Wir kritisieren dies als nicht nachhaltig und wollen den Trend stoppen.",6.4,2.2,6,0.782244556
39,Wir wollen eine stärke Fokussierung der Nutztierzucht auf Mehrnutzungsrassen und auf Lebensleistung statt einseitig auf Höchstleistung und fordern das Verbot von Patenten auf Tiere. Das bewusste Herbeiführen von körperlichen Schäden und Beeinträchtigungen erachten wir als unethisch .,4.8,2.6,6.4,0.940639269
40,Klimaschutz ist die globale Herausforderung unserer Zeit. Die Suche nach Lösungen bietet auch Chancen für Entwicklungsländer. Eine neue wirtschaftliche Zusammenarbeit muss fair und nachhaltig gestaltet werden.,6.2,3,3.8,0.731182796
41,Die Kosten für die Stilllegung und den Rückbau von Atomanlagen müssen die Atomkonzerne tragen.,5.4,2,4.2,0.534798535
42,"Um Menschen und Klima zu schützen, brauchen wir endlich auch Tempolimits: 120 km/h auf Autobahnen, 80 km/h auf 65 Landstraßen und eine Regelgeschwindigkeit von 30 km/h innerorts.",5.2,1.2,4.4,0.889344262
43,Der ÖPNV muss flächendeckend und barrierefrei ausgebaut werden. Bis 2030 wollen wir die Zahl der Nutzer*innen verdoppeln.,6.8,2.8,2.8,0.921727395
44,"Der Staat darf Klimazerstörung nicht weiter mit Steuergeldern unterstützen. Wir fordern darum Divestment, also den Rückzug des Staates aus Finanzanlagen, Investitionen und Subventionen, die in Vorhaben fließen, die der fossilen und atomaren Energiewirtschaft dienen.",4.2,2.6,5.6,0.820861678
45,"Um das Klima zu retten, ist ein grundlegender Wandel unserer Gesellschaft notwendig. Es geht längst nicht nur um den Klimawandel. Die Zerstörung natürlicher Lebensräume lässt die Wahrscheinlichkeit von Pandemien rasant steigen. Diesen verheerenden Prozess der Naturzerstörung müssen wir stoppen. Um die Naturzerstörung zu stoppen, müssen Ressourcenverbrauch und Emissionen auf ein nachhaltiges Niveau abgesenkt werden. Ressourcenverbrauch darüber hinaus ist weder möglich noch nötig.",5.6,2.8,6.4,0.639880952
46,"Um einer Holzarmut vorzubeugen, müssen wir auch mit der Ressource Holz sparsam umgehen. Energie direkt aus dem Wald ist kein Beitrag zum Klimaschutz.",4.4,6,6.6,0.925438596
47,"Wir wollen dafür sorgen, dass alle dazu geeigneten Dächer eine Solaranlage bekommen. In einem ersten Schritt sorgen wir dafür, dass auf öffentlichen Gebäuden und gewerblichen Neubauten Solar-Strom erzeugt wird. Unser Ziel ist eine Solaranlage auf jedem Supermarkt, jeder Schule und jedem Rathaus.",7,1.8,2.6,0.955380577
48,Unserer Landwirtschaft verdient mehr Wertschätzung und braucht mehr Wertschöpfung. Für Bäuerinnen und Bauern – und insbesondere die künftige Generation – schaffen wir attraktive und vielseitige Einkommensmöglichkeiten.,4.6,4.2,2.2,0.702380952
49,Wir werden noch stärker gegen die Verunreinigung unserer Gewässer mit Spurenstoffen und Medikamenten vorgehen. Wir werden die Strategie zur Prävention von Gewässerverunrienigung und den Dialog zu Mikroplastik fortführen. Wir wollen Abfälle wiederverwerten und Exporte von Abfällen zur bloßen Entsorgung verbieten.,4.6,3.4,6,0.669902913
50,"Ebenso wollen wir die positiven Aspekte des Fliegens und die Innovationskraft der Luftfahrt wieder stärker herausstellen und als Schlüsseltechnologie gezielt fördern. Die Entwicklung von Flugtaxen ist zwar noch eine Vision für die Zukunft, aber sie wird zunehmend realistischer.",4.8,4,1.4,0.759930915
51,"Der European Green Deal ist eine umfassende und ambitionierte Nachhaltigkeitsstrategie in den Bereichen Energie, Industrie, Kreislaufwirtschaft, Verkehr, Gebäude, Umweltschutz und Biodiversität, Landwirtschaft und Lebensmittelwirtschaft. Dazu setzen wir auf marktwirtschaftliche Instrumente, auf Anreize statt auf Verbote, auf Innovationen und Wettbewerb und auf die Zusammenarbeit mit Industrie und Landwirtschaft.",6.4,2.8,3.6,0.935323383
52,"Um das Stauaufkommen auf den Autobahnen zu reduzieren und Klimaziele zu erreichen, wollen wir mehr Güterverkehr von der Straße auf die Schiene und auf die Wasserstraße verlagern. Dazu werden wir in saubere Fahrzeuge und leistungsfähige Infrastruktur investieren, auch in neue Ladestationen für Binnenschiffe in Häfen.",6.4,2.2,4.8,0.794162826
53,Wir werden den Schienenverkehr mit dem Deutschlandtakt stärken. Mit einem attraktiven Angebot der Deutschen Bahn wollen wir maximale Synergien bei Güter- und Personenverkehr in unserem Schienensystem nutzen.,5.8,3.4,2.8,0.947089947
54,"Um nicht erneut den Kohlekonzernen Milliarden an Steuergeldern zu schenken, werden wir die massiven Klimaschäden der Kohleverstromung einpreisen. Das gelingt am besten über den EU- Emissionshandel – mit einem lenkenden CO2-Preis.",5.6,2.2,6.4,0.844551282
55,"Klimaneutralität ist eine große Chance für höhere Lebensqualität, mehr soziale Gerechtigkeit und einen klimagerechten Wohlstand. Sie gilt es zu ergreifen.",6.6,2.2,4.2,0.871794872
56,"Unerwünschte, oft sogar noch in Plastikfolie eingepackte Werbung gehört nicht in unsere Briefkästen. Wir werden das komplizierte Pfandsystem entwirren. Jede Flasche soll in jeden Pfandautomaten passen, den To-go-Mehrwegbecher machen wir bis 2025 zum Standard.",6.2,2.6,5.2,0.851428571
57,"Die Einführung des Erneuerbare-Energien-Gesetzes (EEG) vor über 20 Jahren war der Startschuss für die Energiewende in Deutschland, inzwischen sind Sonne und Wind zu den günstigsten Energiequellen geworden. Ebenso sollen Endkund*innen den Strom künftig besser direkt von Ökostromerzeugern kaufen können.",6.2,3.6,3.2,0.91047619
58,"Wir werden dafür sorgen, dass Bürger*innen mit niedrigen Einkommen nicht ins Hintertreffen geraten. Mit dem Ansteigen des CO2-Preises werden wir für weitere sozial gerechte Ausgleichsmaßnahmen sorgen.",5,3.2,5.8,0.58781362
59,Unsere Wälder haben bereits unter trockenen Sommern gelitten und schweren Schaden genommen. Bei der nun kommenden Wiederaufforstung wollen wir eine neue Wertschätzung für unsere Wälder erreichen. Der Gewinn unserer Wälder für den Klimaschutz und das Stadtklima muss stärker bedacht und belohnt werden.,5.8,4.6,3.6,0.745704467
60,"Doch sind sie durch Übersäuerung, Überfischung, steigende Temperaturen, Schadstoff- und Mikroplastikeinträge und vieles mehr zunehmend bedroht. Sollten diese Entwicklungen weiter fortschreiten, dann drohen katastrophale Folgen wie etwa die Umkehrung der CO2-Aufnahme und damit eine unaufhaltsame Beschleunigung des Klimawandels.",4,3.8,6.8,0.739526412
61,"Um Lebensmittelverschwendung zu verringern, setzen wir uns für verbindliche Reduktionsziele entlang der gesamten Wertschöpfungskette ein. Supermärkte müssen verpflichtet werden, aussortierte, aber noch genießbare Lebensmittel kostenfrei zur Verfügung zu stellen.",5.4,3,6.6,0.782312925
62,"Wir wollen ein Verbot von Lebendtiertransporten, die über das Höchstmaß von vier Stunden hinausgehen. Der nächstgelegene Schlachthof soll stets bevorzugt werden.",5.2,2.8,5.4,0.59223301
63,Glyphosat und Neonikotinoide müssen verboten werden. Wir wollen Transparenz und ein strenges Regelwerk für die Zulassung von Pflanzenschutzmitteln.,5,1.8,5,0.780612245
64,"Wir fördern Elektromobilität im öffentlichen Verkehr, das heißt für Straßenbahnen, Züge, Busse.",6,3.2,3,0.87654321
65,"Wir sehen Entwicklungen, die geändert oder gestoppt werden müssen, um eine gute Zukunft möglich zu machen. Deshalb werden wir in der Welt von morgen unseren Wohlstand sichern, erhalten und ausbauen und zugleich das Klima und die Umwelt schützen.",5.8,3.2,5.4,0.762762763
66,"Wir werden den Ausbau der Erneuerbaren Energien entscheidend voranbringen und daher deutlich schneller ausbauen, damit der stark steigende Energiebedarf gedeckt wird. Nur so wird die Energiewende in allen Bereichen gelingen, und nur so werden die Pariser Klimaziele erreicht werden.",6.2,2.6,5.2,0.860927152
67,"Unsere Wälder sind die grüne Lunge unseres Landes und unser wichtigster Klimaschützer. Sie produzieren Sauerstoff und speichern große Mengen von CO2. Ebenso sind sie wichtiger Wirtschaftsfaktor, sorgen für Arbeitsplätze und sind unverzichtbar für die Biodiversität.",3.6,5.6,3.6,0.796296296
68,"Wir werden die Anpassung des Mindesthaltbarkeitsdatums prüfen und die Entwicklung von Apps und anderen digitalen Hilfsmitteln, zum Beispiel zur automatischen Preissenkung für Produkte nahe am Ablaufdatum, und innovative Verpackungslösungen, die zum Beispiel die Genießbarkeit anzeigen, fördern.",6.4,2.2,4.4,0.885245902
69,"Unsere Nahrungsmittel sind unsere Lebensgrundlage. Sie dürfen aus ethischen, ökologischen und auch wirtschaftlichen Gründen nicht achtlos verschwendet werden. Unser klares Ziel ist die Halbierung bzw. deutliche Reduzierung der Lebensmittelverschwendung bis 2030.",5,2,6.4,0.86099865
70,Klimaneutralität wird ein Wettbewerbsvorteil unserer Wirtschaft werden. Investitionen in Klimatechnologien und Energieeffizienz zur CO2-Reduktion sollen künftig steuerlich besser abgesetzt werden können.,6,2.8,4.6,0.855606759
71,"Wir setzen verbindlich die Treibhausgasneutralität Deutschlands bis 2045 um. So schaffen wir unseren deutschen Beitrag, um international den 1,5 Grad-Pfad zu beschreiten.",5.4,2,4.4,0.774289985
72,"Effektiver und sozial gerechter Klimaschutz muss sich auch ökonomisch lohnen. Unser Ziel ist eine Wirtschaft, in der die nachhaltigsten Produkte auch die günstigsten sind.",4.8,3,3.6,0.700421941
73,"Das System des Immer billiger, immer mehr hat die Landwirtschaft in einen Teufelskreis getrieben: Bäuer*innen werden von Dumpingpreisen erdrückt und müssen immer mehr produzieren, um zu überleben, die Tiere werden immer mehr auf Leistung gezüchtet und leben immer kürzer. Es braucht einen Ausweg. Ein Teil der Lösung ist, dass deutlich weniger Tiere gehalten werden als bisher.",5,3,4.8,0.863333333
74,Die Verkehrspolitik hat jahrzehntelang einseitig Straßenbau und Pkw- Verkehr gefördert. Sie reißt damit alle Klima- und Nachhaltigkeitsziele und führt doch tagtäglich zu Staus. Das hat keine Zukunft.,4.6,2.2,4.4,0.612903226
75,"Die Zukunft wird damit leiser, sauberer, gesünder, günstiger und sozial gerechter. Weniger Autos in der Stadt bedeuten mehr Platz für uns Menschen. Leisere Straßen und saubere Luft dienen besonders jenen, die sich nicht die Villa am ruhigen Stadtrand leisten können. Mehr Angebote an klima- und umweltfreundlichen Verkehrsmitteln, zum Beispiel Rufbussen oder Carsharing, erleichtern zu pendeln und befördern ein gutes Leben auf dem Land.",5.2,2.8,5.2,0.804511278
76,Wir müssen unsere Wirtschaft auf Klimaneutralität und die planetaren Grenzen ausrichten und eine Kreislaufwirtschaft etablieren.,6,2.6,4.2,0.860215054
77,"Den Klimawandel zu stoppen, ist eine Menschheitsaufgabe. Unsere Politik richtet sich nach dem Klimaabkommen von Paris: Wir müssen die globale Erderwärmung auf möglichst 1,5 Grad Celsius begrenzen. Darum haben wir uns zum Ziel gesetzt, in Deutschland bis spätestens 2045 komplett klimaneutral zu sein.",4.8,2.4,5.6,0.799368088
78,Die umwelt- und klimarelevanten Auswirkungen des Kohleausstiegs müssen dringend beachtet werden. Hierzu zählen ein neuer Flächenbedarf für den Abbau von Naturgips oder die Beeinträchtigung der Wasserqualität durch eine Flutung der Braunkohletagebaugebiete.,3.6,2.8,5.6,0.881904762
79,Die negativen Folgen des Klimawandels sind bereits ersichtlich und spürbar. Neben Maßnahmen zum Klimaschutz benötigen wir Lösungen zur Bekämpfung der Klimafolgen.,4.2,3,5.8,0.669291339
80,Unser Ziel ist der solidarisch finanzierte Nulltarif im ÖPNV für alle. Erste Schritte sind deutlich günstigere Fahrpreise (zum Beispiel ein 365-Euro-Jahresticket).,5.8,3.2,2.2,0.870646766
81,Den Import und die Förderung von Wasserstoff aus Atomkraft oder fossilen Quellen lehnen wir ab.,2,2.8,6.2,0.936007641
82,"Der schrittweise Kohleausstieg beginnt sofort. Spätestens 2030 muss der letzte Kohlemeiler vom Netz. Der Neubau von Kohlekraftwerken, der Neuaufschluss und die Erweiterung von Braunkohletagebauen wird verboten.",4.8,2,4.8,0.675774135
83,Wir wollen eine strukturelle Reform des EEG. Der Ökostromanteil muss so schnell wie möglich auf 100 Prozent erhöht werden.,5.6,2,2.2,0.932291667
84,"Statt einer Wirtschaft, die für Profite arbeitet, brauchen wir eine Wirtschaft, die klaren sozialen und ökologischen Zielen folgt, die mit den verbleibenden Ressourcen haushalten kann und die für die Bedürfnisse der Menschen arbeitet.",5.2,2.6,4.2,0.645669291
85,"Unser Ziel: Leben, Arbeiten und Wirtschaften hat spätestens 2045 keine negativen Auswirkungen mehr auf unser Klima. Die Energieversorgung Deutschlands basiert dann vollständig auf erneuerbaren Energien, unsere Gebäude werden effizient mit erneuerbaren Energien beheizt.",5.8,2.6,4.6,0.781531532
86,"Zur Eindämmung der Erderwärmung ist entscheidend, dass Entwicklungs- und Schwellenländer ihre Wirtschaft von Anfang an klimafreundlich aufbauen.",6.4,2.6,5.2,0.941798942
87,"Wir brauchen Energiespeicher, um die Schwankungen der Erneuerbaren Energie in wind- und sonnenschwachen Zeiten auszugleichen. Wir werden die dafür notwendige Technologieentwicklung und -umsetzung weiter fördern und prüfen.",6,2.8,3.4,0.902847571
88,"Wir werden Anreize setzen, weniger Abfall zu produzieren, abfallarme Produkte zu entwickeln und die Möglichkeiten einer stofflichen Wiedernutzung von Recyclingrohstoffen zu verbessern.",5.4,2.4,5,0.90503876
